flow_duration,upstream_volume,downstream_volume,num_packets_upstream,num_packets_downstream,upstream_packet_size_mean,upstream_packet_size_median,upstream_packet_size_std,upstream_packet_size_min,upstream_packet_size_max,upstream_packet_size_25th_percentile,upstream_packet_size_75th_percentile,upstream_packet_size_10th_percentile,upstream_packet_size_90th_percentile,downstream_packet_size_mean,downstream_packet_size_median,downstream_packet_size_std,downstream_packet_size_min,downstream_packet_size_max,downstream_packet_size_25th_percentile,downstream_packet_size_75th_percentile,downstream_packet_size_10th_percentile,downstream_packet_size_90th_percentile,upstream_interarrival_time_mean,upstream_interarrival_time_median,upstream_interarrival_time_std,upstream_interarrival_time_min,upstream_interarrival_time_max,upstream_interarrival_time_25th_percentile,upstream_interarrival_time_75th_percentile,upstream_interarrival_time_10th_percentile,upstream_interarrival_time_90th_percentile,downstream_interarrival_time_mean,downstream_interarrival_time_median,downstream_interarrival_time_std,downstream_interarrival_time_min,downstream_interarrival_time_max,downstream_interarrival_time_25th_percentile,downstream_interarrival_time_75th_percentile,downstream_interarrival_time_10th_percentile,downstream_interarrival_time_90th_percentile,label
10.279834000,1685044,633876,17928,11660,93.98951360999554,94.0,0.6329505107105221,54,94,94.0,94.0,94.0,94.0,54.36329331046312,54.0,3.78671765485013,54,94,54.0,54.0,54.0,54.0,0.000573427455792938,0.00029,0.0012965690539193402,0E-9,0.048590000,0.0001540000,0.0008220000,0.00007100000000000000000000000000,0.001258000000000000000000000000,0.0008776675529633759,0.000684,0.0016032770393272786,0E-9,0.052992000,0.0003210000,0.0011540000,0.0001530000000000000000000000000,0.001517200000000000727595761418,Wired
10.753956000,254808,834234,4693,8877,54.29533347538888,54.0,3.3928196270912956,54,94,54.0,54.0,54.0,54.0,93.97701926326462,94.0,0.9152525545377492,54,94,94.0,94.0,94.0,94.0,0.002291976982097187,0.001642,0.0029370094772171377,0E-9,0.033659000,0.00067775000,0.00274250000,0E-52,0.004193800000000001091393642128,0.001208198738170347,0.000919,0.0016675142082271846,0.000019000,0.039903000,0.00083800000,0.00096100000,0.0004760000,0.0016205000,Wired
10.952306000,917040,308058,9775,5271,93.8148337595908,94.0,2.6814135120943527,54,94,94.0,94.0,94.0,94.0,58.44393853158793,54.0,11.408851584013622,54,94,54.0,54.0,54.0,90.0,0.0011205535093104153,0.000751,0.00149390456996693,0E-9,0.058929000,0.00035600000,0.00163500000,0.0002443000000000000682121026330,0.002179700000000000727595761418,0.002078227514231499,0.0019025000000000001,0.0019367224562392789,0.000009000,0.057198000,0.00132625000,0.00247200000,0.0008240000000000000000000000000,0.003381200000000000727595761418,Wired
10.344035000,482886,207700,5153,3650,93.70968367941005,94.0,3.3764140925397093,54,94,94.0,94.0,94.0,94.0,56.9041095890411,54.0,9.339262535505043,54,94,54.0,54.0,54.0,66.0,0.0020077643633540374,0.0012504999999999999,0.003729532383820791,0E-9,0.179365000,0.00023500000,0.00288575000,0.00009900000000000000000000000000,0.004823000000000000000000000000,0.0028347484242258153,0.002112,0.004694767868208537,0.000002000,0.221605000,0.000966000,0.003911000,0.0003408000000000000113686837722,0.005792600000000000818545231596,Wired
11.050432000,86908,823114,1583,8759,54.90082122552116,54.0,5.882081305817443,54,94,54.0,54.0,54.0,54.0,93.97351295810024,94.0,0.9686720454622977,54,94,94.0,94.0,94.0,94.0,0.006985102402022756,0.008887,0.006139100071028881,0E-9,0.051510000,0.00064075000,0.00902600000,0E-52,0.01323630000000004611138137989,0.0012573344370860927,0.000929,0.0020717768545612685,0.000013000,0.048457000,0.00082600000,0.00096500000,0.0004827000000000000454747350886,0.001000300000000000181898940355,Wired
10.340613000,236284,869484,4347,9252,54.35564757303888,54.0,3.7239714527099546,54,94,54.0,54.0,54.0,54.0,93.97795071335928,94.0,0.8965216986487362,54,94,94.0,94.0,94.0,94.0,0.002379340312931431,0.0,0.00732779648647678,0E-9,0.138816000,0E-11,0.00010400000,0E-10,0.0080725000,0.0011143043995243756,0.000934,0.0037048265828738534,0.000001000,0.115584000,0.0007590000,0.0009595000,0.000487000,0.000976000,Wired
10.523463000,494076,208300,5276,3635,93.64594389689158,94.0,3.738429180715011,54,94,94.0,94.0,94.0,94.0,57.30398899587345,54.0,9.995748850920972,54,94,54.0,54.0,54.0,66.0,0.0019949658767772515,0.001199,0.004300363686189342,0E-9,0.246157000,0.0003150000,0.0028665000,0.0001140000000000000000000000000,0.004607200000000002546585164964,0.0028958238855255917,0.0022145,0.004897048356501528,0.000002000,0.233129000,0.00100600000,0.00390225000,0.0003996000000000000227373675443,0.005477000000000000000000000000,Wired
11.672248000,613668,841002,9289,8953,66.06394660350952,66.0,1.2547933812123744,66,94,66.0,66.0,66.0,66.0,93.93521724561599,94.0,1.3386744842253324,66,94,94.0,94.0,94.0,94.0,0.0012567019810508183,2.5e-05,0.002955847700476852,0E-9,0.070128000,0E-11,0.00012600000,0E-51,0.004981000000000000000000000000,0.0012966930294906166,0.001163,0.002681583978286852,0E-9,0.142680000,0.00110000000,0.00117800000,0.0009080000000000000000000000000,0.001544000000000000000000000000,Wired
11.243539000,341344,1144722,3905,12181,87.41203585147247,94.0,10.683146514273576,54,94,86.0,94.0,66.0,94.0,93.97602824070273,94.0,0.7811931553722337,66,94,94.0,94.0,94.0,94.0,0.0028800048668032787,0.0,0.005613541958079454,0E-9,0.082583000,0E-11,0.00529275000,0E-53,0.009487200000000001637090463191,0.0009194227422003285,0.000834,0.0020781598910047097,0.000001000,0.076097000,0.00081600000,0.00088500000,0.0004139000000000000909494701773,0.0009480000000000000000000000000,Wired
15.218856000,1234064,576582,13134,8653,93.9594944419065,94.0,1.0460518878754486,66,94,94.0,94.0,94.0,94.0,66.63376863515543,66.0,3.7196671638843544,54,94,66.0,66.0,66.0,66.0,0.0011588248686514886,0.000306,0.0032827398207401397,0E-9,0.060445000,0.000159000,0.000913000,0.00007500000000000000000000000000,0.002642400000000003274180926383,0.0017589944521497918,0.000689,0.004276584594075332,0E-9,0.072278000,0.00030175000,0.00126425000,0.0001530000000000000000000000000,0.003843000000000005456968210638,Wired
8.173005000,644814,499906,9489,5321,67.95384128991464,66.0,9.8014854507364,54,94,66.0,66.0,54.0,90.0,93.94963352753241,94.0,1.316359026814948,54,94,94.0,94.0,94.0,94.0,0.0008614018760539629,0.0,0.0032565254308867097,0E-9,0.053908000,0E-11,0E-11,0E-51,0.002987300000000022919266484678,0.001536271992481203,0.000535,0.006240644257760036,0.000001000,0.105465000,0.00051900000,0.00054300000,0.00004200000000000000000000000000,0.0007181000000000003637978807092,Wired
10.217346000,130390,1070418,1907,11389,68.3744100681699,66.0,5.55184810892918,66,94,66.0,66.0,66.0,78.0,93.98700500482921,94.0,0.5768996461071,66,94,94.0,94.0,94.0,94.0,0.0053606222455403986,5.3e-05,0.00853710858112939,0E-9,0.066470000,0E-11,0.00673950000,0E-10,0.0182630000,0.0008939406392694065,0.00093,0.0018236950517247787,0.000002000,0.052721000,0.00026775000,0.00097800000,0.0001700000000000000000000000000,0.001344000000000000000000000000,Wired
10.248580000,2582600,1186452,37964,12624,68.027605099568,66.0,15.289401561780247,54,94,54.0,90.0,54.0,90.0,93.98384030418251,94.0,0.7675540010849892,54,94,94.0,94.0,94.0,94.0,0.0002699612254036825,0.0,0.0017415317411581539,0E-9,0.096207000,0E-10,0E-10,0E-50,0.00004200000000000000000000000000,0.0008118939237899074,0.000911,0.001665325446729353,0E-9,0.052016000,0.0002000000,0.0009390000,0.00006500000000000000000000000000,0.0009620000000000000000000000000,Wired
10.336817000,1526333,690612,16253,10361,93.91084722820402,94.0,1.7170981026922958,54,94,94.0,94.0,94.0,94.0,66.65495608531995,66.0,3.7401797801882775,66,94,66.0,66.0,66.0,66.0,0.0006360335343342358,0.000223,0.003969634179147862,0E-9,0.348010000,0.00015600000,0.00081700000,0.00007400000000000000000000000000,0.001231000000000000000000000000,0.000994373166023166,0.000675,0.004376606997882548,0E-9,0.311720000,0.00030175000,0.00117000000,0.0001570000000000000000000000000,0.001628000000000000000000000000,Wired
10.663309000,1059574,1204616,13685,12820,77.42594081110705,90.0,15.611407132823366,54,94,54.0,90.0,54.0,90.0,93.96380655226208,94.0,1.1221936937732533,54,94,94.0,94.0,94.0,94.0,0.000779251023092663,0.0,0.0023334233307740005,0E-9,0.047685000,0E-11,0.00001500000,0E-49,0.003525000000000000000000000000,0.0008318328262735004,0.000902,0.0015248124811170541,0E-9,0.061558000,0.0002880000,0.0009440000,0.00007600000000000000000000000000,0.0009660000000000000000000000000,Wired
11.638274000,51462,939944,763,10002,67.44692005242464,66.0,6.069003933343908,54,94,66.0,66.0,66.0,66.0,93.97560487902419,94.0,0.8164178496564528,66,94,94.0,94.0,94.0,94.0,0.015273325459317585,0.013819000000000001,0.014099542963268116,0E-9,0.191990000,0.00550550000,0.02126275000,0E-55,0.02855029999999999802184902364,0.0011585132486751325,0.000853,0.004230843163159024,0.000001000,0.254565000,0.000801000,0.000923000,0.000602000,0.000958000,Wired
10.936351000,338896,878240,6245,9346,54.266773418734985,54.0,3.2308063177148347,54,94,54.0,54.0,54.0,54.0,93.9696126685213,94.0,1.0666083115655438,54,94,94.0,94.0,94.0,94.0,0.001751497597693786,0.0011875,0.0025752516733315504,0E-9,0.043845000,0.00000100000,0.00222600000,0E-52,0.003303399999999999636202119291,0.001165593365436062,0.000866,0.0015573313270598318,0.000008000,0.042610000,0.000825000,0.000945000,0.0004840000000000000000000000000,0.001561000000000000000000000000,Wired
